,Unnamed: 0,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Hours Above Vanos Threshold [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],Total ADORB Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
33,0,2B_IECC_TMY_DCint_3000_285,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,156.5,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.28663823598846,1276.3895310313694,0,134640.35,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15314.66,423943.56658488186,47862.84509487796,331382.9375212996,5415.433129656513,32238.51159262501,7043.839246422796
34,0,2B_IECC_TMY_DCint_3000_2875,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,156.75,2.75,0.0,0.0,14.52,3354.74,8.655433791041657,38.26102585202327,1276.3895310313694,0,134630.11,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15304.41,423921.3664264628,47862.84509487796,331362.84928600554,5415.433129656513,32236.3996695,7043.839246422796
35,0,2B_IECC_TMY_DCint_3000_29,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,157.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.57375157131062,1276.3895310313694,0,134355.2,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15029.5,423325.63733240153,47862.84509487796,330823.8100703192,5415.433129656513,32179.709791125013,7043.839246422796
36,0,2B_IECC_TMY_DCint_3000_2925,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,156.0,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.63238339960761,1276.3895310313694,0,134378.65,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15052.95,423376.45340768335,47862.84509487796,330869.7904624761,5415.433129656513,32184.545474250004,7043.839246422796
37,0,2B_IECC_TMY_DCint_3000_295,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,152.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,37.58419616971355,1276.3895310313694,0,134359.37,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15033.68,423334.6838201613,47862.84509487796,330831.99634482904,5415.433129656513,32180.570004375004,7043.839246422796
38,0,2B_IECC_TMY_DCint_3000_2975,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,150.25,0.25,0.0,0.0,14.52,3354.74,8.655433791041657,39.61928729587571,1276.3895310313694,0,135173.41,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15847.71,425098.6957953599,47862.84509487796,332428.14340365253,5415.433129656513,32348.43492075001,7043.839246422796
39,0,2B_IECC_TMY_DCint_3000_30,0.0,0.0,1.75,0,-1.0625,-20.375,39.0,18.0,147.0,0.75,0.0,0.0,14.52,3354.74,8.655433791041657,49.6998185509154,1276.3895310313694,0,139205.62,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,19879.93,433836.4921286784,47862.84509487796,340334.44732522115,5415.433129656513,33179.9273325,7043.839246422796
40,0,2B_IECC_TMY_DCint_4000_27,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
41,0,2B_IECC_TMY_DCint_4000_2725,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
42,0,2B_IECC_TMY_DCint_4000_275,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.25,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.1511153380914,1276.3895310313694,0,134586.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15260.45,423826.0936876099,47862.84509487796,331276.6434036526,5415.433129656513,32227.332813000005,7043.839246422796
